CODEASSU;CODEINTE;CODECATE;PRIMENETTE;PRIMETOTALE
22424;1001;402;120563.0;148350.0
21038;1001;400;16148.0;425826.0
21847;1001;401;29201.0;39401.0
22886;1001;401;27985.0;35565.0
22720;1001;405;11061.0;17768.0
21284;1001;401;48519.0;62437.0
11632;1001;402;45090.0;58348.0
22942;1001;401;73415.0;92125.0
22691;1001;402;165919.0;205418.0
26489;1001;401;41109.0;53601.0
21131;1001;402;32558.0;43403.0
21416;1001;401;20554.0;29089.0
21342;1001;401;14640.0;22037.0
21287;1001;401;16100.0;23778.0
22319;1001;401;14405.0;19371.0
22260;1001;401;59281.0;75270.0
21392;1001;401;28838.0;37000.0
21358;1001;401;16100.0;24000.0
21670;1001;401;73202.0;94852.0
21646;1001;401;14175.0;21482.0
21533;1001;401;14600.0;21989.0
22267;1001;405;11061.0;17768.0
22650;1001;401;20554.0;29089.0
21554;1001;401;14175.0;21482.0
21069;1001;401;14175.0;21482.0
22614;1001;401;60339.0;76532.0
22091;1001;401;14600.0;21989.0
22890;1001;402;22889.0;31873.0
21853;1001;401;85745.0;106829.0
22803;1001;403;60807.0;79476.0
22159;1001;405;10739.0;17085.0
21276;1001;401;97404.0;120731.0
22698;1001;405;10739.0;17384.0
22209;1001;401;14600.0;21989.0
8659;1001;400;14473.0;266808.0
21706;1001;401;14175.0;21482.0
22539;1001;401;23553.0;32665.0
22495;1001;401;73202.0;94256.0
22539;1001;401;16100.0;23778.0
22452;1001;401;14667.0;22069.0
22834;1001;401;14600.0;20796.0
8781;1001;401;14937.0;22391.0
21038;1001;400;16148.0;40514.0
22455;1001;401;13585.0;20778.0
21772;1001;401;94147.0;116848.0
21038;1001;400;16148.0;125221.0
21713;1001;401;65393.0;82559.0
21761;1001;401;25833.0;35980.0
8856;1001;401;14175.0;22078.0
8115;1001;401;14175.0;22078.0
21772;1001;401;88897.0;111184.0
22514;1001;401;22962.0;32556.0
21287;1001;401;16100.0;24374.0
21554;1001;401;-2556.0;-3048.0
10851;1001;400;-42453.0;-49626.0
22329;1001;401;48302.0;62774.0
21342;1001;401;14640.0;22633.0
11655;1001;401;334231.0;406129.0
10851;1001;400;-41879.0;-133709.0
8643;1001;400;-31582.0;-150644.0
22114;1001;401;16100.0;24374.0
22022;1001;401;80503.0;101174.0
21069;1001;401;14175.0;22078.0
9821;1001;401;18499.0;27234.0
21416;1001;401;20554.0;29685.0
14093;1001;401;184997.0;228169.0
23525;1001;405;10739.0;17384.0
25072;1001;405;10739.0;17384.0
21205;1001;401;36999.0;49295.0
21050;1001;400;169774.0;421220.0
13191;1001;401;12758.0;20388.0
25150;1001;405;10739.0;17384.0
24120;1001;401;17204.0;25690.0
24121;1001;401;16649.0;25028.0
21419;1001;401;20679.0;29834.0
25301;1001;401;32711.0;44182.0
24291;1001;401;93522.0;116699.0
11632;1001;402;45090.0;58944.0
21358;1001;401;69872.0;88500.0
25478;1001;405;19137.0;29784.0
23137;1001;405;10739.0;16191.0
23137;1001;405;10739.0;16191.0
21392;1001;401;60377.0;77173.0
13198;1001;401;93522.0;118750.0
21284;1001;401;23553.0;33261.0
21205;1001;401;36999.0;49295.0
9255;1001;400;653974.0;827120.0
9255;1001;400;772878.0;980838.0
9255;1001;400;572755.0;730265.0
25324;1001;401;63789.0;84223.0
21131;1001;402;30917.0;45023.0
21274;1001;401;29201.0;39997.0
23487;1001;401;70202.0;91870.0
8659;1001;400;20648.0;29797.0
26692;1001;401;15500.0;23658.0
24743;1001;405;11061.0;17768.0
11620;1001;401;116667.0;145000.0
21038;1001;403;273632.0;334461.0
8659;1001;400;25974.0;1728739.0
10799;1001;401;92936.0;116000.0
25834;1001;403;284447.0;344478.0
19021;1001;401;67702.0;88889.0
9014;1002;405;18580.0;26735.0
14802;1002;401;18499.0;26638.0
9663;1002;420;32201.0;42979.0
9663;1002;420;32201.0;42979.0
10823;1002;401;63789.0;80646.0
9347;1002;401;47106.0;60752.0
8512;1002;401;20854.0;29447.0
12525;1002;401;93522.0;116103.0
8023;1002;401;80503.0;100578.0
8023;1002;401;18600.0;22180.0
9270;1002;402;109091.0;134669.0
10378;1002;401;20554.0;29089.0
9272;1002;401;73202.0;91871.0
13414;1002;401;16100.0;23778.0
12819;1002;401;14175.0;21482.0
14813;1002;401;16100.0;23778.0
12934;1002;401;73202.0;91871.0
9175;1002;401;73202.0;91871.0
8512;1002;401;20854.0;29447.0
9119;1002;402;96970.0;120215.0
13414;1002;401;16100.0;23778.0
22298;1002;401;73202.0;91871.0
8745;1002;401;73202.0;91871.0
9347;1002;401;23553.0;32665.0
8745;1002;401;63789.0;80646.0
22435;1002;402;24969.0;34354.0
22367;1002;401;57406.0;73035.0
22489;1002;401;30106.0;40479.0
14802;1002;401;49948.0;64141.0
22154;1002;401;19999.0;28427.0
22004;1002;401;25653.0;35169.0
22171;1002;402;25969.0;35547.0
22936;1002;405;11061.0;17768.0
10948;1002;401;16100.0;23778.0
23152;1002;401;121168.0;149071.0
22100;1002;401;32201.0;42979.0
21664;1002;401;14175.0;21482.0
21983;1002;401;71801.0;90201.0
22008;1002;405;11061.0;17768.0
21965;1002;401;25760.0;35297.0
22863;1002;401;31006.0;41552.0
22837;1002;402;24242.0;33487.0
22492;1002;401;16100.0;23778.0
13255;1002;401;20554.0;29089.0
22060;1002;401;73415.0;92125.0
22394;1002;401;16100.0;23778.0
21720;1002;405;11061.0;17768.0
9347;1002;401;88323.0;109903.0
13253;1110;401;50954.0;65341.0
8320;1110;400;53044.0;582112.0
8320;1110;400;79383.0;99243.0
8320;1110;400;76504.0;95807.0
8328;1110;401;41109.0;53601.0
13565;1110;401;73202.0;91871.0
11346;1110;401;108792.0;134312.0
11103;1110;401;66820.0;84261.0
8646;1110;400;431469.0;7856463.0
13155;1110;401;305223.0;368557.0
8373;1110;402;109327.0;134951.0
11946;1110;401;216511.0;262767.0
11946;1110;401;110980.0;136921.0
12758;1110;401;174064.0;212116.0
9390;1110;400;169119.0;894636.0
8494;1110;401;110391.0;136219.0
13159;1110;401;83742.0;104440.0
14638;1110;401;110832.0;136745.0
8210;1110;401;73198.0;91866.0
12742;1110;420;0.0;1000.0
14240;1110;401;77278.0;96732.0
10954;1110;402;51939.0;66515.0
12754;1110;401;73202.0;91871.0
10403;1110;401;84671.0;105549.0
9379;1110;401;152765.0;186751.0
8051;1110;400;14175.0;33850.0
8051;1110;400;16184.0;73236.0
8013;1110;400;16184.0;232392.0
13985;1110;401;93245.0;115773.0
10102;1110;405;11061.0;17768.0
11114;1110;401;35645.0;47085.0
9584;1110;401;744851.0;892813.0
9584;1110;401;744851.0;892813.0
14682;1110;401;93245.0;115773.0
8395;1110;400;73202.0;200436.0
9574;1110;400;387078.0;1448072.0
14648;1110;405;9955.0;16450.0
10069;1110;401;84671.0;105549.0
11027;1110;401;20554.0;29089.0
8378;1110;401;73202.0;91871.0
9151;1110;401;122446.0;150596.0
10068;1110;401;18149.0;26221.0
8235;1110;402;106127.0;131135.0
8263;1110;402;48485.0;62396.0
9223;1110;401;16100.0;23778.0
9596;1110;401;105751.0;130686.0
14685;1110;401;19054.0;27300.0
10729;1110;402;117363.0;144534.0
12886;1110;401;16100.0;23778.0
12047;1110;402;25882.0;35443.0
8013;1110;400;14175.0;65200.0
10755;1110;401;32201.0;42979.0
8567;1110;401;14600.0;21989.0
10130;1110;401;822963.0;985963.0
8051;1110;402;16184.0;20184.0
13194;1110;401;16100.0;23778.0
8092;1110;401;93245.0;115773.0
13117;1110;402;120563.0;148350.0
10208;1110;401;108751.0;134263.0
9925;1110;401;14175.0;21482.0
11885;1110;401;66632.0;84036.0
9031;1110;405;9955.0;16450.0
15035;1110;401;124168.0;152649.0
8494;1110;402;62217.0;78773.0
13168;1110;401;64910.0;81983.0
8858;1110;401;84671.0;105549.0
8235;1110;401;66632.0;84036.0
10501;1110;401;16100.0;23778.0
10501;1110;402;26609.0;36310.0
8051;1110;401;14175.0;18175.0
8521;1110;400;16184.0;51534.0
13908;1110;401;109069.0;134642.0
11116;1110;402;182397.0;222087.0
9589;1110;400;70525.0;385113.0
12552;1110;401;116668.0;143705.0
14286;1110;405;17223.0;25117.0
9465;1110;401;172891.0;210750.0
9012;1110;400;-161643.0;-192759.0
8197;1110;401;25760.0;35297.0
11500;1110;401;16100.0;23778.0
12844;1110;401;88676.0;110324.0
12467;1110;401;73202.0;91871.0
10182;1110;403;70551.0;88710.0
10182;1110;403;70551.0;88710.0
12445;1110;401;32852.0;43754.0
10078;1110;401;20554.0;29089.0
12879;1110;401;78155.0;97777.0
14680;1110;401;66632.0;84036.0
10625;1110;401;66632.0;84037.0
8051;1110;400;16184.0;55552.0
12443;1110;401;32201.0;42979.0
12409;1110;401;84671.0;105549.0
13282;1110;401;93245.0;115773.0
14280;1110;401;105751.0;130686.0
8282;1110;401;91058.0;113164.0
